x;to_keep;nota
new.ID;y;
dataset;n;
NEF.dataset;y;Esta variable no existe em la base de globalfungi, la creamos para mayor claridad, Mica y Soly
Database_ID;n;
PermanentID;y;
grouped_samples;n;
add_date;n;
paper_id;n;
paper_to_keep;n;
title;n;
year;n;
authors;n;
journal;n;
doi;n;
contact;n;
sample_name;n;
sample_type;y;
manipulated;n;
sample_description;n;
latitude;y;
longitude;y;
continent;n;
year_of_sampling;y;
Biome;y;tipo vegetaci—n
sequencing_platform;y;
target_gene;y;
primers;n;
primers_sequence;n;
sample_seqid;n;
sample_barcode;n;
globfungi_elevation;y;
MAT;y;
MAP;y;
MAT_study;y;
MAP_study;y;
Biome_detail;y;
country;y;
month_of_sampling;n;
day_of_sampling;n;
plants_dominant;n;
plants_all;n;
area_sampled;n;
number_of_subsamples;n;
sampling_info;n;
sample_depth;n;
extraction_DNA_mass;n;
extraction_DNA_size;n;
extraction_DNA_method;n;
total_C_content;n;
total_N_content;n;
organic_matter_content;n;
pH;n;
pH_method;n;
total_Ca;n;
total_P;n;
total_K;n;
sample_info;n;
location;n;
area_GPS;n;
ITS1_extracted;n;
ITS2_extracted;n;
ITS_total;n;
pH_0cm_depth;n;
SOC_0cm_depth..;n;
globfungi_elev...GPS.visualizer;n;
morrone_biogeoregions_IDProv;y;
morrone_biogeoregions_IDSubreg;y;
morrone_biogeoregions_Region;y;
morrone_biogeoregions_Subregion;y;
morrone_biogeoregions_IDProvince;y;
morrone_biogeoregions_IDDominio;y;
morrone_biogeoregions_Provincias;y;
morrone_biogeoregions_Area_km;y;
morrone_biogeoregions_Dominio;y;
morrone_biogeoregions_Perimetro;y;
morrone_biogeoregions_SubDominio;y;
wwf_ecoregions_OBJECTID;y;
wwf_ecoregions_AREA;y;
wwf_ecoregions_PERIMETER;y;
wwf_ecoregions_ECO_NAME;y;
wwf_ecoregions_REALM;y;
wwf_ecoregions_BIOME;y;
wwf_ecoregions_ECO_NUM;y;
wwf_ecoregions_ECO_ID;y;
wwf_ecoregions_ECO_SYM;y;
wwf_ecoregions_GBL_STAT;y;
wwf_ecoregions_G200_REGIO;y;
wwf_ecoregions_G200_NUM;y;
wwf_ecoregions_G200_BIOME;y;
wwf_ecoregions_G200_STAT;y;
